strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker,grupo,alerta_excluida_por,fecha_ejecucion
252.5,2.17,46.60697924804688,2.18,4257.0,2719,2026-01-30,2,0.8395594238619734,359.88205806040565,250.32,3.597011476546265,259.66,18.0,AAPL,7_Magnificas,,2026-01-27 19:33:55
475.0,8.6,58.569750244140614,8.6,2239.0,1272,2026-01-30,2,1.7852694511334384,2426.386814210149,466.4,3.1802706966702754,481.72,20.85,MSFT,7_Magnificas,,2026-01-27 19:33:55
472.5,7.65,58.8993367919922,7.55,1586.0,1159,2026-01-30,2,1.5673005065183092,1608.3959458360607,464.95,3.481275429710213,481.72,20.85,MSFT,7_Magnificas,,2026-01-27 19:33:55
240.0,7.55,56.07954077148438,7.65,511.0,3148,2026-02-06,9,3.138216918476098,250.13868893718762,232.35,4.684352809422039,243.769,25.02,AMZN,7_Magnificas,,2026-01-27 19:33:55
235.0,5.55,56.34809277343751,5.75,861.0,4777,2026-02-06,9,2.35879049427942,157.41325119450326,229.25,5.956048554163986,243.769,25.02,AMZN,7_Magnificas,,2026-01-27 19:33:55
237.5,1.22,35.18131225585937,1.27,9604.0,3418,2026-01-30,2,0.520985030910411,158.13938203342227,236.23,3.092682006325667,243.769,25.02,AMZN,7_Magnificas,,2026-01-27 19:33:55
330.0,8.15,47.21732470703125,8.08,209.0,2552,2026-02-06,9,2.407484655264883,162.4265650726107,321.92,4.081997497169414,335.62,20.09,GOOGL,7_Magnificas,,2026-01-27 19:33:55
325.0,6.3,47.6567734375,6.25,175.0,2384,2026-02-06,9,1.86222513556999,111.33825228435899,318.75,5.026518085930518,335.62,20.09,GOOGL,7_Magnificas,,2026-01-27 19:33:55
670.0,22.25,82.10467114257811,22.3,2373.0,2393,2026-01-30,2,3.321714779396431,38801.645600798685,647.7,3.521315577799623,671.34,27.24,META,7_Magnificas,,2026-01-27 19:33:55
665.0,19.8,82.11077459716796,19.95,1188.0,1519,2026-01-30,2,2.9716686030923225,20840.61504099504,645.05,3.916048500014907,671.34,27.24,META,7_Magnificas,,2026-01-27 19:33:55
660.0,17.4,81.66522241210936,17.64,1545.0,2288,2026-01-30,2,2.6275806595763695,11268.328204088375,642.36,4.316739655018324,671.34,27.24,META,7_Magnificas,,2026-01-27 19:33:55
430.0,12.0,69.98321032714844,12.0,12849.0,7624,2026-01-30,2,2.783383202282374,14894.460619523674,418.0,3.045485120497297,431.13,39.4,TSLA,7_Magnificas,,2026-01-27 19:33:55
427.5,10.85,70.33110723876955,10.9,1777.0,2082,2026-01-30,2,2.528239742073157,9426.622960104103,416.6,3.370213160763569,431.13,39.4,TSLA,7_Magnificas,,2026-01-27 19:33:55
425.0,9.75,70.6606937866211,9.65,3644.0,5845,2026-01-30,2,2.2383039918354095,5581.8354764075075,415.35,3.660148911001316,431.13,39.4,TSLA,7_Magnificas,,2026-01-27 19:33:55
185.0,1.58,41.55331884765625,1.59,40537.0,28794,2026-01-30,2,0.8406924768069337,360.82605702173504,183.41,3.0242722193964107,189.1298,29.26,NVDA,7_Magnificas,,2026-01-27 19:33:55
182.5,1.04,43.555251953125,1.04,17138.0,19503,2026-01-30,2,0.5498869030686862,172.04423453836043,181.46,4.0553101626501915,189.1298,29.26,NVDA,7_Magnificas,,2026-01-27 19:33:55
